gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
CTNNB1	MUC6	2	13	5	16	0.49230769230769234	-1	0.6737806192858377	1	-0.17148148527871548
CTNNB1	TAS2R30	2	13	4	17	0.6538461538461539	-1	0.9999999999999999	1	-4.8216373327664354e-17
CTNNB1	HLA-C	0	15	6	15	0	-1	0.030428813754240728	0.2740830650657713	-1.516714977974704
CTNNB1	TAS2R19	1	14	3	18	0.42857142857142855	-1	0.625668449197861	1	-0.2036557447903373
CTNNB1	HLA-A	1	14	3	18	0.42857142857142855	-1	0.625668449197861	1	-0.2036557447903373
CTNNB1	LILRA2	1	14	2	19	0.6785714285714286	-1	1	1	0
CTNNB1	HLA-DRB1	3	12	0	21	Inf	1	0.06372549019607844	0.5239176207395712	1.1956868151190618
CTNNB1	KIR3DL2	2	13	0	21	Inf	1	0.16666666666666669	1	0.7781512503836436
CTNNB1	LILRA1	0	15	2	19	0	-1	0.49999999999999994	1	-0.30102999566398125
CTNNB1	LILRB2	1	14	1	20	1.4285714285714286	1	1	1	-0
CTNNB1	PRSS1	2	13	0	21	Inf	1	0.16666666666666669	1	0.7781512503836436
CTNNB1	MUC3A	0	15	2	19	0	-1	0.49999999999999994	1	-0.30102999566398125
CTNNB1	HLA-B	0	15	2	19	0	-1	0.49999999999999994	1	-0.30102999566398125
CTNNB1	KIR2DL3	1	14	1	20	1.4285714285714286	1	1	1	-0
CTNNB1	SOX21	1	14	1	20	1.4285714285714286	1	1	1	-0
CTNNB1	KIR2DS4	0	15	1	20	0	-1	1	1	0
CTNNB1	KIR3DL1	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	TAS2R46	0	15	1	20	0	-1	1	1	0
CTNNB1	ABCC6	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	ANAPC7	0	15	1	20	0	-1	1	1	0
CTNNB1	APOB	0	15	1	20	0	-1	1	1	0
CTNNB1	ARAP1	0	15	1	20	0	-1	1	1	0
CTNNB1	BRWD1	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	BTLA	0	15	1	20	0	-1	1	1	0
CTNNB1	C4A	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	CACNA2D1	0	15	1	20	0	-1	1	1	0
CTNNB1	CASP3	0	15	1	20	0	-1	1	1	0
CTNNB1	CASR	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	CCDC168	0	15	1	20	0	-1	1	1	0
CTNNB1	CDK14	0	15	1	20	0	-1	1	1	0
CTNNB1	DDX53	0	15	1	20	0	-1	1	1	0
CTNNB1	DST	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	EXOSC7	0	15	1	20	0	-1	1	1	0
CTNNB1	FAM92A	0	15	1	20	0	-1	1	1	0
CTNNB1	FGD4	0	15	1	20	0	-1	1	1	0
CTNNB1	GK2	0	15	1	20	0	-1	1	1	0
CTNNB1	GRIA2	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	GXYLT1	0	15	1	20	0	-1	1	1	0
CTNNB1	HERC2	0	15	1	20	0	-1	1	1	0
CTNNB1	HLA-DQA1	0	15	1	20	0	-1	1	1	0
CTNNB1	HLA-DQA2	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	HLA-DQB2	0	15	1	20	0	-1	1	1	0
CTNNB1	HLA-DRB5	0	15	1	20	0	-1	1	1	0
CTNNB1	HMBS	0	15	1	20	0	-1	1	1	0
CTNNB1	IFIT3	0	15	1	20	0	-1	1	1	0
CTNNB1	IQSEC2	1	14	0	21	Inf	1	0.41666666666666663	1	0.38021124171160603
CTNNB1	KIR2DL4	0	15	1	20	0	-1	1	1	0
CTNNB1	KL	0	15	1	20	0	-1	1	1	0
CTNNB1	KLHL28	0	15	1	20	0	-1	1	1	0
MUC6	TAS2R30	0	7	6	23	0	-1	0.3171468000690012	1	-0.4987396661658905
MUC6	HLA-C	2	5	4	25	2.5	1	0.5732167500431257	1	0.24168112751227824
MUC6	TAS2R19	2	5	2	27	5.4	1	0.16256684491978624	1	0.7889680229277449
MUC6	HLA-A	2	5	2	27	5.4	1	0.16256684491978624	1	0.7889680229277449
MUC6	LILRA2	0	7	3	26	0	-1	1	1	0
MUC6	HLA-DRB1	0	7	3	26	0	-1	1	1	0
MUC6	KIR3DL2	0	7	2	27	0	-1	1	1	0
MUC6	LILRA1	0	7	2	27	0	-1	1	1	0
MUC6	LILRB2	0	7	2	27	0	-1	1	1	0
MUC6	PRSS1	0	7	2	27	0	-1	1	1	0
MUC6	MUC3A	0	7	2	27	0	-1	1	1	0
MUC6	HLA-B	1	6	1	28	4.666666666666667	1	0.35555555555555557	1	0.4490925311194189
MUC6	KIR2DL3	2	5	0	29	Inf	1	0.03333333333333335	0.29805352798053536	1.4771212547196622
MUC6	SOX21	0	7	2	27	0	-1	1	1	0
MUC6	KIR2DS4	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	KIR3DL1	0	7	1	28	0	-1	1	1	0
MUC6	TAS2R46	0	7	1	28	0	-1	1	1	0
MUC6	ABCC6	0	7	1	28	0	-1	1	1	0
MUC6	ANAPC7	0	7	1	28	0	-1	1	1	0
MUC6	APOB	0	7	1	28	0	-1	1	1	0
MUC6	ARAP1	0	7	1	28	0	-1	1	1	0
MUC6	BRWD1	0	7	1	28	0	-1	1	1	0
MUC6	BTLA	0	7	1	28	0	-1	1	1	0
MUC6	C4A	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	CACNA2D1	0	7	1	28	0	-1	1	1	0
MUC6	CASP3	0	7	1	28	0	-1	1	1	0
MUC6	CASR	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	CCDC168	0	7	1	28	0	-1	1	1	0
MUC6	CDK14	0	7	1	28	0	-1	1	1	0
MUC6	DDX53	0	7	1	28	0	-1	1	1	0
MUC6	DST	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	EXOSC7	0	7	1	28	0	-1	1	1	0
MUC6	FAM92A	0	7	1	28	0	-1	1	1	0
MUC6	FGD4	0	7	1	28	0	-1	1	1	0
MUC6	GK2	0	7	1	28	0	-1	1	1	0
MUC6	GRIA2	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	GXYLT1	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	HERC2	0	7	1	28	0	-1	1	1	0
MUC6	HLA-DQA1	0	7	1	28	0	-1	1	1	0
MUC6	HLA-DQA2	0	7	1	28	0	-1	1	1	0
MUC6	HLA-DQB2	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	HLA-DRB5	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	HMBS	0	7	1	28	0	-1	1	1	0
MUC6	IFIT3	0	7	1	28	0	-1	1	1	0
MUC6	IQSEC2	1	6	0	29	Inf	1	0.19444444444444445	1	0.7112044607530305
MUC6	KIR2DL4	0	7	1	28	0	-1	1	1	0
MUC6	KL	0	7	1	28	0	-1	1	1	0
MUC6	KLHL28	0	7	1	28	0	-1	1	1	0
TAS2R30	HLA-C	1	5	5	25	1	-1	1	1	0
TAS2R30	TAS2R19	0	6	4	26	0	-1	1	1	0
