FusionName	Sample	zscore_Gene1A	zscore_Gene1B	zscore_Gene2A	zscore_Gene2B	note_expression_Gene1A	note_expression_Gene1B	note_expression_Gene2A	note_expression_Gene2B	LeftBreakpoint	RightBreakpoint	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
7SK--RMRP	BS_9DZ253JY	64.8790509267958	7.84233675036266	NA	NA	differentially expressed	differentially expressed	NA	NA	6:52995906:+	9:35657995:-	STARFUSION	other	3	9	NA	[INTERCHROMOSOMAL[chr1--chr9]]	7SK	NA	RMRP	NA	NA	onco	NA	NA	NA
7SK--RMRP	BS_B741RZY9	50.4245284916096	7.38742648945784	NA	NA	differentially expressed	differentially expressed	NA	NA	6:52995911:+	9:35657985:-	STARFUSION	other	3	10	NA	[INTERCHROMOSOMAL[chr1--chr9]]	7SK	NA	RMRP	NA	NA	onco	NA	NA	NA
7SK--RMRP	BS_ZXYDSBM9	47.8862369360984	7.4624197022313	NA	NA	differentially expressed	differentially expressed	NA	NA	6:52995787:+	9:35657893:-	STARFUSION	other	3	11	NA	[INTERCHROMOSOMAL[chr1--chr9]]	7SK	NA	RMRP	NA	NA	onco	NA	NA	NA
7SK--VIM	BS_B3M5SGPA	47.9086679298048	4.02336711039456	NA	NA	differentially expressed	differentially expressed	NA	NA	6:52995862:+	10:17229600:+	STARFUSION	other	3	12	NA	[INTERCHROMOSOMAL[chr1--chr10]]	7SK	NA	VIM	NA	NA	tsgs	NA	NA	NA
ABR--AC134669.2	BS_6JHXXVR7	-1.26404565805495	NA	NA	NA	no change	NA	NA	NA	17:1083520:-	17:31305630:-	STARFUSION	frameshift	15	5	NA	[INTRACHROMOSOMAL[chr17:30.08Mb]]	ABR	NA	AC134669.2	NA	onco	NA	NA	NA	NA
ABR--EVI2B	BS_6JHXXVR7	-1.26404565805495	1.99229127384418	NA	NA	no change	no change	NA	NA	17:1083520:-	17:31305630:-	STARFUSION	other	15	5	NA	[INTRACHROMOSOMAL[chr17:30.07Mb]]	ABR	NA	EVI2B	NA	onco	NA	NA	NA	NA
ABR--WASF3	BS_QWTE1CWR	0.214354884401455	-1.93857275590648	NA	NA	no change	no change	NA	NA	17:1067077:-	13:26685688:+	STARFUSION	frameshift	114	20	NA	[INTERCHROMOSOMAL[chr17--chr13]]	ABR	NA	WASF3	NA	onco	NA	NA	NA	NA
ABR--WASF3	BS_WKESC3XN	0.283117959223922	-2.14371013331988	NA	NA	no change	differentially expressed	NA	NA	17:1067077:-	13:26685688:+	STARFUSION	frameshift	27	6	NA	[INTERCHROMOSOMAL[chr17--chr13]]	ABR	NA	WASF3	NA	onco	NA	NA	NA	NA
AC005865.2--CCND2	BS_W644VEVE	NA	10.5051335938283	NA	NA	NA	differentially expressed	NA	NA	12:3366059:-	12:4299860:+	STARFUSION	other	366	2	NA	[INTRACHROMOSOMAL[chr12:0.91Mb]]	AC005865.2	NA	CCND2	NA	NA	CosmicCensus, onco	NA	NA	NA
AC011444.1--GADD45GIP1	BS_8PNA0V6R	NA	-0.283897847914241	NA	NA	NA	no change	NA	NA	19:5978514:+	19:12954526:-	STARFUSION	other	17	1	NA	[INTRACHROMOSOMAL[chr19:6.93Mb]]	AC011444.1	NA	GADD45GIP1	NA	NA	tsgs, onco	NA	NA	NA
AC011625.1--TRRAP	BS_84XCR9GG	51.8134285824673	3.30112155056111	NA	NA	differentially expressed	differentially expressed	NA	NA	7:132352381:+	7:98929989:+	STARFUSION	other	62	3	NA	[INTRACHROMOSOMAL[chr7:33.34Mb]]	AC011625.1	NA	TRRAP	NA	NA	kinase, CosmicCensus	NA	NA	NA
AC011625.1--TRRAP	BS_84XCR9GG	51.8134285824673	3.30112155056111	NA	NA	differentially expressed	differentially expressed	NA	NA	7:132367866:+	7:98929989:+	STARFUSION	other	15	3	NA	[INTRACHROMOSOMAL[chr7:33.34Mb]]	AC011625.1	NA	TRRAP	NA	NA	kinase, CosmicCensus	NA	NA	NA
AC087565.3--ZFHX3	BS_QWNBZ9RJ	NA	11.9215612493044	NA	NA	NA	differentially expressed	NA	NA	16:73257047:-	16:73143831:-	STARFUSION	other	13	8	NA	[INTRACHROMOSOMAL[chr16:0.17Mb]]	AC087565.3	NA	ZFHX3	NA	NA	tsgs, CosmicCensus, onco, predictedTF	NA	NA	NA
ADAMTSL3--SH3GL3	BS_H4B5Y6S0	1.56019723001794	0.858785019154711	NA	NA	no change	no change	NA	NA	15:83704508:+	15:83586983:+	STARFUSION	in-frame	4	2	NA	[INTRACHROMOSOMAL[chr15:0.04Mb],LOCAL_REARRANGEMENT:+:[35343]]	ADAMTSL3	NA	SH3GL3	NA	onco	NA	NA	NA	NA
AFAP1--NTRK2	BS_JFR750KD	6.59770602044061	0.686225995013765	NA	NA	differentially expressed	no change	NA	NA	4:7778762:-	9:84741892:+	STARFUSION	in-frame	124	28	NA	[ChimerSeq,INTERCHROMOSOMAL[chr4--chr9]]	AFAP1	NA	NTRK2	NA	NA	onco	NA	NA	TCGAFusion
AFAP1--NTRK2	BS_S458NMKH	5.57429126570269	0.841861413534496	NA	NA	differentially expressed	no change	NA	NA	4:7778762:-	9:84741892:+	STARFUSION	in-frame	92	13	NA	[ChimerSeq,INTERCHROMOSOMAL[chr4--chr9]]	AFAP1	NA	NTRK2	NA	NA	onco	NA	NA	TCGAFusion
