Cancer	sampleId	Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Evalue	Junction_A	Junction_B	tier	frame	id	gene_A_start	gene_A_end	gene_B_start	gene_B_end	phos_A	phos_B	ubiq_A	ubiq_B	WGS	centrality
PRAD	G9.6348.01A	A2LD1	DCLK1	13	13	-1	-1	2	1	1	0.008	101236079	36348836	tier2	5UTR-CDS	1	101183801	101241782	36343122	36705467	0	0	0	0	NA	0.35917
SARC	DX.A48L.01A	A2LD1	INCA1	13	17	-1	-1	10	2	2	0.27	101236079	4893560	tier1	5UTR-CDS	2	101183801	101241782	4988130	4997610	0	0	0	0	NA	0.34827
LUAD	97.7941.01A	A2M	ARFGEF2	12	20	-1	1	2	14	7	0.13	9220308	47615777	tier3	3UTR-CDS	3	9220260	9268825	47538275	47653230	0	0	0	0	NA	0.3675
LIHC	DD.A39W.01A	A2M	CCT5	12	5	-1	1	2	10	2	0.63	9220308	10250033	tier3	3UTR-5UTR	4	9220260	9268825	10250033	10266524	0	0	0	0	NA	0.37168
KIRC	B4.5378.01A	A2M	FAR1	12	11	-1	1	2	5	1	0.29	9220308	13744912	tier3	NA	5	9220260	9268825	13690217	13753893	0	0	0	0	NA	0.36255
UCEC	AX.A1C7.01A	AACS	MAL	12	2	1	1	30	38	33	0.26	125561157	95713704	tier1	Out-of-frame	6	125065379	125143333	95025677	95053996	1	0	0	0	NA	0.34131
SARC	K1.A42X.01A	AAGAB	SMAD3	15	15	-1	1	11	4	4	2.2	67500900	67457233	tier1	Out-of-frame	7	67201033	67255195	67358183	67487533	0	1	0	0	NA	0.3763
SARC	K1.A42X.02A	AAGAB	SMAD3	15	15	-1	1	5	8	8	2.2	67500900	67457233	tier1	Out-of-frame	8	67201033	67255195	67358183	67487533	0	1	0	0	NA	0.3763
OV	24.1423.01A	AAK1	C2orf42	2	2	-1	-1	50	49	46	0.41	69783992	70377696	tier1	Out-of-frame	9	69688532	69901481	70377012	70475747	1	0	0	0	NA	0
PRAD	HC.7744.01A	AAK1	KCMF1	2	2	-1	1	14	13	11	0.57	69870010	85255012	tier1	In-frame	10	69688532	69901481	85198216	85282560	1	1	0	0	non-validated	0.35628
UCS	N5.A59F.01A	AAK1	LHX2	2	9	-1	1	5	2	2	0.11	69783992	126776240	tier1	In-frame	11	69688532	69901481	126773889	126795442	1	0	0	0	NA	0.3711
LIHC	DD.A3A5.01A	AAK1	RPIA	2	2	-1	1	6	1	1	0.007	69783992	89028796	tier2	In-frame	12	69688532	69901481	88691644	88750935	1	0	0	0	NA	0.36301
LUSC	22.A5C4.01A	AAK1	WFDC13	2	20	-1	1	37	45	37	0.76	69732701	44333083	tier1	In-frame	13	69688532	69901481	45702016	45708817	0	0	0	0	NA	0.35146
LUSC	21.1083.01A	AAMP	Mar-04	2	2	-1	-1	18	6	5	0.007	219134105	217124402	tier4	In-frame	14	219128850	219134980	217122588	217236750	0	0	0	0	non-validated	0
BRCA	BH.A0B9.01A	AARS	COG4	16	16	-1	-1	84	122	115	1.2	70316523	70553634	tier1	In-frame	15	70286297	70323412	70514472	70557468	1	1	1	0	non-validated	0.34937
UCEC	B5.A3S1.01A	AARS	PPP1R13B	16	14	-1	-1	3	2	2	0.17	70292883	104209160	tier1	Out-of-frame	16	70286297	70323412	104200089	104313927	0	0	0	0	NA	0.36785
BRCA	BH.A0B9.01A	AARS	ST3GAL2	16	16	-1	-1	72	47	45	0.64	70303521	70415765	tier1	Out-of-frame	17	70286297	70323412	70413338	70472991	0	0	0	0	non-validated	0.35205
ACC	OR.A5J8.01A	AARS2	SPATS1	6	6	-1	1	802	453	388	0.64	44278731	44328183	tier1	In-frame	18	44267391	44281063	44310397	44344904	0	0	0	0	NA	0.35016
PRAD	HC.7209.01A	AARSD1	CCR7	17	17	-1	-1	23	5	5	0.048	41113209	38715194	tier1	In-frame	19	41102543	41132545	38710021	38721724	0	0	0	0	NA	0.36006
UCS	N6.A4VF.01A	AARSD1	CHRNB1	17	17	-1	1	8	4	3	0.2	41116123	7357616	tier1	Out-of-frame	20	41102543	41132545	7348380	7361026	0	0	0	0	NA	0.34339
BLCA	BT.A2LA.01A	AARSD1	FBXL20	17	17	-1	-1	2	2	2	0.23	41108221	37499494	tier2	In-frame	21	41102543	41132545	37408897	37557898	0	0	0	0	non-validated	0.33957
CESC	4J.AA1J.01A	AARSD1	RGS9	17	17	-1	1	12	4	3	0.19	41131187	63206606	tier1	Out-of-frame	22	41102543	41132545	63133456	63223819	0	0	0	0	NA	0.34924
KIRC	CW.5581.01A	AASDH	CC2D2A	4	4	-1	1	10	10	9	0.67	57244314	15564978	tier1	In-frame	23	57204456	57253666	15469865	15601557	0	0	0	0	NA	0.34182
GBM	06.2559.01A	AASDH	LRRC66	4	4	-1	-1	5	23	20	0.42	57217508	52869558	tier1	Out-of-frame	24	57204456	57253666	52859868	52883786	0	1	0	0	NA	0.33914
LIHC	DD.A4NN.01A	AASDHPPT	ABTB2	11	11	1	-1	6	4	2	0.52	105950419	34226237	tier1	In-frame	25	106075501	106098710	34172535	34379555	0	0	0	0	NA	0.36058
LUSC	94.7557.01A	AASS	CADPS2	7	7	-1	-1	2	1	1	0.7	121726066	122377122	tier4	In-frame	26	122075647	122144280	121958481	122526813	0	1	0	0	NA	0.35965
SARC	DX.A6BH.01A	AASS	DNM3	7	1	-1	1	44	34	32	0.073	121731757	172100315	tier2	In-frame	27	122075647	122144280	171810621	172387606	0	0	0	0	NA	0.35908
SARC	DX.A8BG.01A	AATF	AP2B1	17	17	1	1	27	28	24	1.5	35311207	34037253	tier1	In-frame	28	35306175	35414170	33914282	34053434	0	0	0	0	NA	0.37165
LUSC	O2.A52S.01A	AATF	FTL	17	19	1	1	5	5	5	100	35378313	49468566	tier1	CDS-5UTR	29	35306175	35414170	48965301	48966878	0	0	0	0	NA	0.3651
BRCA	BH.A0HF.01A	AATF	GOSR2	17	17	1	1	3	10	9	0.021	35348156	45015965	tier1	In-frame	30	35306175	35414170	45000486	45105003	0	0	0	0	NA	0.36579
LIHC	EP.A2KA.01A	AATF	LIG3	17	17	1	1	12	4	4	0.28	35348156	33325623	tier1	In-frame	31	35306175	35414170	33307542	33332083	0	0	0	0	validated	0.37099
BRCA	AR.A0TX.01A	ABAT	C16orf62	16	16	1	1	67	20	20	0.2	8768568	19663298	tier1	5UTR-CDS	32	8768422	8878432	19566562	19716880	0	0	0	0	non-validated	0
LGG	CS.5397.01A	ABAT	KIAA0430	16	16	1	-1	9	4	3	5.4	8768568	15706634	tier1	5UTR-CDS	33	8768422	8878432	15688243	15737023	0	0	0	0	NA	0.33735
BRCA	EW.A3U0.01A	ABCA1	HDHD3	9	9	-1	-1	3	3	3	2.4	107690216	116137847	tier1	5UTR-5UTR	34	107543283	107690518	116135699	116139279	0	0	0	0	non-validated	0.3794
