GeneID	GeneSymbol	Alias	Links	Chromosome	Cytoband	Description	GeneType
43	ACHE	ACEE|ARACHE|N-ACHE|YT	MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085|HPRD:00010|Vega:OTTHUMG00000157033	7	7q22	acetylcholinesterase (Yt blood group)	protein-coding
95	ACY1	ACY-1|ACY1D|HEL-S-5	MIM:104620|HGNC:HGNC:177|Ensembl:ENSG00000114786|Ensembl:ENSG00000243989|HPRD:00092|Vega:OTTHUMG00000157815|Vega:OTTHUMG00000166447	3	3p21.1	aminoacylase 1	protein-coding
104	ADARB1	ADAR2|DRABA2|DRADA2|RED1	MIM:601218|HGNC:HGNC:226|Ensembl:ENSG00000197381|HPRD:06777|Vega:OTTHUMG00000090295	21	21q22.3	"adenosine deaminase, RNA-specific, B1"	protein-coding
141	ADPRH	ARH1	MIM:603081|HGNC:HGNC:269|Ensembl:ENSG00000144843|HPRD:04359|Vega:OTTHUMG00000159420	3	3q13.31-q13.33	ADP-ribosylarginine hydrolase	protein-coding
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799|HPRD:01435|Vega:OTTHUMG00000037556	1	1q41-q42	poly (ADP-ribose) polymerase 1	protein-coding
185	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	MIM:106165|HGNC:HGNC:336|Ensembl:ENSG00000144891|HPRD:00107|Vega:OTTHUMG00000159503	3	3q24	"angiotensin II receptor, type 1"	protein-coding
196	AHR	bHLHe76	MIM:600253|HGNC:HGNC:348|Ensembl:ENSG00000106546|HPRD:02596|Vega:OTTHUMG00000149967	7	7p15	aryl hydrocarbon receptor	protein-coding
199	AIF1	AIF-1|IBA1|IRT-1|IRT1	MIM:601833|HGNC:HGNC:352|Ensembl:ENSG00000204472|HPRD:03496|Vega:OTTHUMG00000031246	6	6p21.3	allograft inflammatory factor 1	protein-coding
231	AKR1B1	ADR|ALDR1|ALR2|AR	MIM:103880|HGNC:HGNC:381|Ensembl:ENSG00000085662|HPRD:00071|Vega:OTTHUMG00000155322	7	7q35	"aldo-keto reductase family 1, member B1 (aldose reductase)"	protein-coding
246	ALOX15	12-LOX|15-LOX-1|15LOX-1	MIM:152392|HGNC:HGNC:433|Ensembl:ENSG00000161905|HPRD:01067|Vega:OTTHUMG00000090746	17	17p13.3	arachidonate 15-lipoxygenase	protein-coding
247	ALOX15B	15-LOX-2	MIM:603697|HGNC:HGNC:434|Ensembl:ENSG00000179593|HPRD:04739|Vega:OTTHUMG00000108181	17	17p13.1	"arachidonate 15-lipoxygenase, type B"	protein-coding
249	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	MIM:171760|HGNC:HGNC:438|Ensembl:ENSG00000162551|HPRD:01377|Vega:OTTHUMG00000002949	1	1p36.12	"alkaline phosphatase, liver/bone/kidney"	protein-coding
268	AMH	MIF|MIS	MIM:600957|HGNC:HGNC:464|Ensembl:ENSG00000104899|HPRD:02979|Vega:OTTHUMG00000180415	19	19p13.3	anti-Mullerian hormone	protein-coding
274	BIN1	AMPH2|AMPHL|SH3P9	MIM:601248|HGNC:HGNC:1052|Ensembl:ENSG00000136717|HPRD:03150|Vega:OTTHUMG00000131465	2	2q14	bridging integrator 1	protein-coding
301	ANXA1	ANX1|LPC1	MIM:151690|HGNC:HGNC:533|Ensembl:ENSG00000135046|HPRD:01060|Vega:OTTHUMG00000020016	9	9q21.13	annexin A1	protein-coding
310	ANXA7	ANX7|SNX|SYNEXIN	MIM:186360|HGNC:HGNC:545|Ensembl:ENSG00000138279|HPRD:01720|Vega:OTTHUMG00000018463	10	10q22.2	annexin A7	protein-coding
317	APAF1	APAF-1|CED4	MIM:602233|HGNC:HGNC:576|Ensembl:ENSG00000120868|HPRD:03755|Vega:OTTHUMG00000170214	12	12q23	apoptotic peptidase activating factor 1	protein-coding
324	APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	MIM:611731|HGNC:HGNC:583|Ensembl:ENSG00000134982|HPRD:01439|Vega:OTTHUMG00000128806	5	5q21-q22	adenomatous polyposis coli	protein-coding
