Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ABI1,abl-interactor 1,10006,10:26748570-26860863,10p11.2,yes,,AML,,,L,Dom,TSG,T,KMT2A,,,"E3B1,ABI1,10006,SSH3BP1,ABI-1"
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,25,9:130835447-130885683,9q34.1,yes,,"CML, ALL, T-ALL",,,L,Dom,oncogene,"T, Mis","BCR, ETV6, NUP214",,,"p150,ABL1,25,ENSG00000097007,P00519,v-abl,bcr/abl,JTK7,c-ABL,ABL"
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",27,1:179107718-179143044,1q24-q25,yes,,AML,,,L,Dom,oncogene,T,ETV6,,,"ARG,ABL2,27,ENSG00000143322,P42684,ABLL,RP11-177A2_3"
ACKR3,atypical chemokine receptor 3,57007,2:-,2q37.3,yes,,lipoma,,,M,Dom,oncogene,T,HMGA2,,,
ACSL3,acyl-CoA synthetase long-chain family member 3,2181,2:222908773-222941654,2q36,yes,,prostate,,,E,Dom,,T,ETV1,,,"PRO2194,2181,ACSL3,ENSG00000123983,O95573,FACL3,ACS3"
ACSL6,acyl-CoA synthetase long-chain family member 6,23305,5:131954234-132011553,5q31.1,yes,,"AML, AEL",,,L,Dom,,T,ETV6,,,"FACL6,23305,ACSL6,ENSG00000164398,KIAA0837,LACS5,ACS2,LACS2"
ACVR1,"activin A receptor, type I",90,2:157737531-157799493,2q23-q24,yes,,DIPG,,,O,Dom,oncogene,Mis,,yes,Fibrodysplasia ossificans progressiva,"SKR1,90,ACVR1,ENSG00000115170,Q04771,ACVRLK2,FOP,ALK2,ACTRI"
ACVR2A,activin A receptor type 2A,92,2:147845153-147927274,2q22.3-q23.1,yes,,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",,,E,Rec,TSG,"Mis, N, F",,,,"ACVR2,ACVR2A,92,ENSG00000121989,ACTRII,P27037"
AFF1,"AF4/FMR2 family, member 1",4299,4:87007409-87135702,4q21,yes,,AL,,,L,Dom,oncogene,T,KMT2A,,,"MLLT2,AFF1,4299,ENSG00000172493,P51825,AF-4,PBM1"
AFF3,"AF4/FMR2 family, member 3",3899,2:99551474-100104454,2q11.2-q12,yes,,"ALL, T-ALL",,,L,Dom,oncogene,T,"KMT2A, RUNX1",,,"MLLT2-like,3899,AFF3,ENSG00000144218,LAF4,P51826"
AFF4,"AF4/FMR2 family, member 4",27125,5:132881059-132937189,5q31,yes,,ALL,,,L,Dom,oncogene,T,KMT2A,,,"Q9UHB7,AFF4,27125,ENSG00000072364,AF5Q31,MCEF"
AKAP9,A kinase (PRKA) anchor protein (yotiao) 9,10142,7:91941100-92110159,7q21-q22,yes,,papillary thyroid,,,E,Dom,oncogene,T,BRAF,,,"AKAP350,10142,AKAP9,ENSG00000127914,KIAA0803,Q99996,AKAP450,YOTIAO,PRKA9,HYPERION,MU-RMS-40_16A,CG-NAP"
AKT1,v-akt murine thymoma viral oncogene homolog 1,207,14:104770341-104792643,14q32.32,yes,,"breast, colorectal, ovarian, NSCLC",,,E,Dom,oncogene,Mis,,,,"AKT1,P31749,RAC-ALPHA,RAC,PRKBA,PKB-ALPHA,PKB,MGC99656,AKT,ENSG00000142208,207"
AKT2,v-akt murine thymoma viral oncogene homolog 2,208,19:40233872-40265267,19q13.1-q13.2,yes,,"ovarian, pancreatic",,,E,Dom,oncogene,A,,,,"PKBBETA,AKT2,208,ENSG00000105221,RAC-BETA,P31751,PRKBB"
