Gene_Ensembl_ID	Gene_full_name	Protein_RefSeq_ID
ENSG00000000003	tetraspanin 6	NP_001265669.1,NP_001265670.1,NP_001265671.1,NP_001265672.1,NP_003261.1
ENSG00000000005	tenomodulin	NP_071427.2
ENSG00000000419	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	NP_001303963.1,NP_001303964.1,NP_001303965.1,NP_003850.1
ENSG00000000457	SCY1 like pseudokinase 3	NP_065156.5,NP_851607.2
ENSG00000000460	chromosome 1 open reading frame 112	NP_001306976.1,NP_001306977.1,NP_001306979.1,NP_001306980.1,NP_001350668.1,NP_001353697.1,NP_001353698.1,NP_001353699.1,NP_001353700.1,NP_001353701.1,NP_001353702.1
ENSG00000000938	FGR proto-oncogene, Src family tyrosine kinase	NP_001036194.1,NP_001036212.1,NP_005239.1
ENSG00000000971	complement factor H	NP_000177.2,NP_001014975.1
ENSG00000001036	alpha-L-fucosidase 2	NP_114409.2
ENSG00000001084	glutamate-cysteine ligase catalytic subunit	NP_001184044.1,NP_001489.1
ENSG00000001167	nuclear transcription factor Y subunit alpha	NP_002496.1,NP_068351.1
ENSG00000001460	sperm tail PG-rich repeat containing 1	NP_001185941.1,NP_001185942.1,NP_001185943.1,NP_835223.1
ENSG00000001461	NIPA like domain containing 3	NP_001309783.1,NP_001309784.1,NP_001309785.1,NP_001309786.1,NP_001309787.1,NP_001309788.1,NP_001309789.1,NP_001309790.1,NP_001309791.1,NP_001309792.1,NP_001309793.1,NP_001309794.1,NP_001309795.1,NP_001309797.1,NP_001317338.1,NP_065181.1
ENSG00000001497	LAS1 like ribosome biogenesis factor	NP_001164120.1,NP_001164121.1,NP_001362257.1,NP_001362258.1,NP_001362259.1,NP_001362260.1,NP_001362261.1,NP_001362262.1,NP_001362263.1,NP_001362264.1,NP_001362265.1,NP_001362266.1,NP_112483.1
ENSG00000001561	ectonucleotide pyrophosphatase/phosphodiesterase 4	NP_055751.1
ENSG00000001617	semaphorin 3F	NP_001305727.1,NP_001305729.1,NP_004177.3
ENSG00000001626	CF transmembrane conductance regulator	NP_000483.3
ENSG00000001629	ankyrin repeat and IBR domain containing 1	NP_061877.1
ENSG00000001630	cytochrome P450 family 51 subfamily A member 1	NP_000777.1,NP_001139624.1
ENSG00000001631	KRIT1 ankyrin repeat containing	NP_001013424.1,NP_001337598.1,NP_001337599.1,NP_001337600.1,NP_001337601.1,NP_001337602.1,NP_001337603.1,NP_001337604.1,NP_001337605.1,NP_001337606.1,NP_001337607.1,NP_001337608.1,NP_001337609.1,NP_001337610.1,NP_001337611.1,NP_001337612.1,NP_001337613.1,NP_001337614.1,NP_001337615.1,NP_001337616.1,NP_001337617.1,NP_001337618.1,NP_001337619.1,NP_001337620.1,NP_001337621.1,NP_001337622.1,NP_001337623.1,NP_001337624.1,NP_001337625.1,NP_001337626.1,NP_004903.2,NP_919436.1,NP_919437.1,NP_919438.1
ENSG00000002016	RAD52 homolog, DNA repair protein	NP_001284348.1,NP_001284349.1,NP_001284350.1,NP_001284351.1,NP_602296.2
ENSG00000002079	myosin heavy chain 16 pseudogene	NA
ENSG00000002330	BCL2 associated agonist of cell death	NP_004313.1,NP_116784.1
ENSG00000002549	leucine aminopeptidase 3	NP_056991.2
ENSG00000002586	CD99 molecule (Xg blood group)	NP_001116370.1,NP_001308296.1,NP_001308297.1,NP_001308298.1,NP_001308299.1,NP_002405.1
ENSG00000002587	heparan sulfate-glucosamine 3-sulfotransferase 1	NP_005105.1
ENSG00000002726	amine oxidase copper containing 1	NP_001082.2,NP_001259001.1
ENSG00000002745	Wnt family member 16	NP_057171.2,NP_476509.1
ENSG00000002746	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	NP_001273988.1,NP_055867.3
