Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	5'UTR	Splice_Region	3'UTR	Silent	RNA	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
TP53	6	0	0	0	0	0	0	12	0	4	1	0	0	0	2	0	25	0	0	0	12	12
EGFR	1	0	0	0	0	0	1	9	0	0	0	1	0	2	1	0	15	0	0	0	8	8
TERT	0	3	0	0	0	0	0	4	0	0	0	0	0	1	0	0	8	0	0	0	7	7
ATRX	0	1	2	1	1	0	0	3	0	2	0	0	0	1	1	0	12	0	1	1	6	7
NF1	1	0	4	1	0	0	0	2	0	2	0	0	0	2	0	0	12	0	0	0	5	5
PTEN	1	0	1	0	1	0	0	1	0	0	1	0	0	5	0	0	10	0	1	1	5	5
TSC2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	0	6	0	0	0	5	5
ATM	0	1	1	0	0	0	0	8	0	0	0	0	0	2	1	0	13	0	0	0	4	4
PTPN11	1	4	0	0	0	0	0	5	0	0	1	0	0	0	0	0	11	0	0	0	4	4
SETD2	3	0	1	0	0	0	0	3	0	2	0	0	0	1	1	0	11	0	0	0	4	4
KMT2C	0	1	0	0	1	0	0	6	0	0	0	0	0	0	2	0	10	0	0	0	4	4
PIK3CA	0	1	0	0	0	1	0	4	0	0	0	0	0	2	0	0	8	0	0	0	4	4
AKT1	2	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	7	0	0	0	4	4
IDH1	1	2	0	0	0	0	0	2	0	0	0	1	0	0	1	0	7	0	0	0	4	4
BCOR	0	0	1	0	0	0	0	2	0	2	1	0	0	0	0	0	6	0	0	0	4	4
CDKN2A	2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	6	0	1	1	4	5
PIK3R1	1	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	6	0	0	0	4	4
ROS1	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	6	0	0	0	4	4
ACVR1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	5	0	0	0	4	4
CDK6	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	5	0	0	0	4	4
MET	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	5	0	0	0	4	4
IGF1R	0	3	0	0	0	0	0	0	0	0	0	0	0	9	3	0	15	1	0	1	3	4
TOP3A	5	2	0	0	0	0	0	3	0	1	0	0	0	1	0	0	12	1	0	1	3	4
NTRK3	3	0	0	0	1	0	0	1	0	0	0	0	0	6	0	0	11	0	0	0	3	3
MYCN	2	5	0	0	0	0	0	2	0	0	0	0	0	1	0	0	10	1	0	1	3	4
KDM6B	0	1	0	0	0	0	0	3	0	0	0	0	0	3	2	0	9	0	0	0	3	3
KIT	0	0	0	0	1	0	0	3	0	0	0	0	0	3	1	0	8	0	0	0	3	3
PIK3C2G	1	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	8	0	0	0	3	3
SMARCE1	0	2	0	0	0	0	0	0	0	0	0	1	1	4	0	0	8	0	0	0	3	3
GOLPH3	1	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	7	0	0	0	3	3
FGFR1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	6	0	0	0	3	3
MDM2	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	6	0	0	0	3	3
PLAGL2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	3	3
CDKN1B	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0	3	3
FOSB	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	3	3
MYC	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	3	3
NTRK1	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	5	0	0	0	3	3
ALK	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	4	0	0	0	3	3
CDKN2C	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	3	3
NFIB	4	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	8	0	0	0	2	2
BRAF	1	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	7	0	0	0	2	2
CIC	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	7	0	0	0	2	2
TDRD9	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	7	0	0	0	2	2
NRAS	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	6	0	0	0	2	2
PIK3C2B	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	6	0	0	0	2	2
POLE	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	6	0	0	0	2	2
AKT2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	0	0	0	2	2
ASXL1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	5	0	0	0	2	2
CCND1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	2	2
CCND2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	0	0	0	2	2
KDR	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	5	0	0	0	2	2
DDR2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	4	0	0	0	2	2
FYN	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	0	0	2	2
MAFK	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	4	0	0	0	2	2
PDGFA	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	2
VEGFA	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	2
FANCA	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	2	2
GAB2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	2	2
KRAS	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	2
MTOR	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	2	2
NTRK2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	2	2
PDGFRA	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	2	2
PPM1D	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	2
TOP2A	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	2	2
AURKB	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2
DIS3L2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2
HIST1H2BE	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	2
SLCO1B3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
CDKN2B	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	1	2
FGFR2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	1	1
PDGFC	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	1
HIST1H3C	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
APOBEC3H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CDK4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2
H3F3A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
HIST2H3C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ID2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ID3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
RB1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
YES1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
