Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	5'UTR	Silent	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
CTNNB1	0	1	0	0	0	22	0	0	0	0	0	0	23	0	0	0	23	23
C11orf95	0	1	0	0	14	0	1	0	0	0	0	0	16	0	0	0	16	16
RELA	0	0	0	0	14	0	1	0	0	0	0	0	15	0	0	0	15	15
NF2	0	0	6	1	2	1	0	4	2	0	0	0	16	0	0	0	14	14
BRAF	1	0	0	0	3	2	1	0	0	0	0	0	7	0	0	0	7	7
FGFR1	0	0	0	0	3	5	0	0	0	0	0	0	8	0	0	0	6	6
TACC1	1	1	0	0	3	0	0	0	0	1	1	0	7	0	0	0	6	6
EWSR1	0	1	0	0	5	0	0	0	0	0	0	0	6	0	0	0	6	6
KRAS	0	1	0	0	1	3	0	0	0	0	0	0	5	0	0	0	5	5
ERBB4	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	4	4
TP53	1	0	0	0	1	0	0	0	3	0	0	0	5	0	0	0	3	3
QKI	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	3	3
SETD2	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	3	3
YAP1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	3	3
PDGFRA	0	0	0	0	0	2	0	2	0	0	0	0	4	0	0	0	2	2
IDH2	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	2
MAML2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	2
MYB	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	2
TERT	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	2
AKT1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
AKT3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
ARHGAP26	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
ARID1A	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2
ARL4D	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CDC27	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CDKN2A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CLDN1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
EGFR	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
FAM118B	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
FGFR3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
IDH1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
L1CAM	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
MAMLD1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
PBRM1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
PIK3CA	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
PTEN	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
SMAD4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
MYBL1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
SMARCB1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
